label,form,ids,note
full_enrolled/by_determined_dx/3_CBS,MoCA-1,0,complete
full_enrolled/by_determined_dx/3_CBS,MoCA-2,0,complete
full_enrolled/by_determined_dx/3_CBS,Neuropsychological,0,complete
full_enrolled/by_determined_dx/3_CBS,Neuropsychological (CaPRI),0,complete
full_enrolled/by_determined_dx/3_CBS,Neuropsychological V02,0,complete
full_enrolled/by_determined_dx/3_CBS,PDQ 39,0,complete
full_enrolled/by_determined_dx/3_CBS,PDQ 8,0,complete
full_enrolled/by_determined_dx/3_CBS,Parkinson Severity Scale,0,complete
full_enrolled/by_determined_dx/3_CBS,SCOPA,0,complete
full_enrolled/by_determined_dx/3_CBS,Schwab & England,0,complete
full_enrolled/by_determined_dx/3_CBS,Timed Up Go,0,complete
full_enrolled/by_determined_dx/3_CBS,UPDRS 1.2 part 3,0,complete
full_enrolled/by_determined_dx/4_DLB,enrollment,9,
full_enrolled/by_determined_dx/4_DLB,Apathy Evaluation Informant,0,complete
full_enrolled/by_determined_dx/4_DLB,Apathy Evaluation Self,0,complete
full_enrolled/by_determined_dx/4_DLB,Apathy Scale,0,complete
full_enrolled/by_determined_dx/4_DLB,BAI,0,complete
full_enrolled/by_determined_dx/4_DLB,BDII,0,complete
full_enrolled/by_determined_dx/4_DLB,Clinical,9,complete
full_enrolled/by_determined_dx/4_DLB,Demographic,9,complete
full_enrolled/by_determined_dx/4_DLB,EHI,2,complete
full_enrolled/by_determined_dx/4_DLB,Epidemiological,9,no_completion_col
full_enrolled/by_determined_dx/4_DLB,Fatigue Severity Scale,0,complete
full_enrolled/by_determined_dx/4_DLB,FrSBe,0,complete
full_enrolled/by_determined_dx/4_DLB,MBIC,0,complete
full_enrolled/by_determined_dx/4_DLB,MBIC (CaPRI),1,complete
full_enrolled/by_determined_dx/4_DLB,MDS-UPDRS,8,complete
full_enrolled/by_determined_dx/4_DLB,MDS-UPDRS-1,0,complete
full_enrolled/by_determined_dx/4_DLB,Medication,9,complete
full_enrolled/by_determined_dx/4_DLB,MoCA,8,complete
full_enrolled/by_determined_dx/4_DLB,MoCA-1,0,complete
full_enrolled/by_determined_dx/4_DLB,MoCA-2,0,complete
full_enrolled/by_determined_dx/4_DLB,Neuropsychological,2,complete
full_enrolled/by_determined_dx/4_DLB,Neuropsychological (CaPRI),0,complete
full_enrolled/by_determined_dx/4_DLB,Neuropsychological V02,0,complete
full_enrolled/by_determined_dx/4_DLB,PDQ 39,7,complete
full_enrolled/by_determined_dx/4_DLB,PDQ 8,0,complete
full_enrolled/by_determined_dx/4_DLB,Parkinson Severity Scale,0,complete
full_enrolled/by_determined_dx/4_DLB,SCOPA,0,complete
full_enrolled/by_determined_dx/4_DLB,Schwab & England,0,complete
full_enrolled/by_determined_dx/4_DLB,Timed Up Go,0,complete
full_enrolled/by_determined_dx/4_DLB,UPDRS 1.2 part 3,0,complete
full_enrolled/by_determined_dx/6_ET,enrollment,9,
full_enrolled/by_determined_dx/6_ET,Apathy Evaluation Informant,0,complete
full_enrolled/by_determined_dx/6_ET,Apathy Evaluation Self,0,complete
full_enrolled/by_determined_dx/6_ET,Apathy Scale,0,complete
full_enrolled/by_determined_dx/6_ET,BAI,0,complete
full_enrolled/by_determined_dx/6_ET,BDII,0,complete
full_enrolled/by_determined_dx/6_ET,Clinical,8,complete
full_enrolled/by_determined_dx/6_ET,Demographic,7,complete
full_enrolled/by_determined_dx/6_ET,EHI,0,complete
full_enrolled/by_determined_dx/6_ET,Epidemiological,9,no_completion_col
full_enrolled/by_determined_dx/6_ET,Fatigue Severity Scale,0,complete
full_enrolled/by_determined_dx/6_ET,FrSBe,0,complete
full_enrolled/by_determined_dx/6_ET,MBIC,1,complete
full_enrolled/by_determined_dx/6_ET,MBIC (CaPRI),0,complete
full_enrolled/by_determined_dx/6_ET,MDS-UPDRS,1,complete
full_enrolled/by_determined_dx/6_ET,MDS-UPDRS-1,0,complete
full_enrolled/by_determined_dx/6_ET,Medication,7,complete
full_enrolled/by_determined_dx/6_ET,MoCA,6,complete
full_enrolled/by_determined_dx/6_ET,MoCA-1,0,complete
full_enrolled/by_determined_dx/6_ET,MoCA-2,0,complete
full_enrolled/by_determined_dx/6_ET,Neuropsychological,6,complete
full_enrolled/by_determined_dx/6_ET,Neuropsychological (CaPRI),0,complete
full_enrolled/by_determined_dx/6_ET,Neuropsychological V02,0,complete
full_enrolled/by_determined_dx/6_ET,PDQ 39,5,complete
full_enrolled/by_determined_dx/6_ET,PDQ 8,0,complete
full_enrolled/by_determined_dx/6_ET,Parkinson Severity Scale,0,complete
full_enrolled/by_determined_dx/6_ET,SCOPA,0,complete
full_enrolled/by_determined_dx/6_ET,Schwab & England,0,complete
full_enrolled/by_determined_dx/6_ET,Timed Up Go,1,complete
full_enrolled/by_determined_dx/6_ET,UPDRS 1.2 part 3,0,complete
full_enrolled/by_determined_dx/7_RBD,enrollment,17,
full_enrolled/by_determined_dx/7_RBD,Apathy Evaluation Informant,0,complete
full_enrolled/by_determined_dx/7_RBD,Apathy Evaluation Self,0,complete
full_enrolled/by_determined_dx/7_RBD,Apathy Scale,0,complete
full_enrolled/by_determined_dx/7_RBD,BAI,0,complete
full_enrolled/by_determined_dx/7_RBD,BDII,0,complete
full_enrolled/by_determined_dx/7_RBD,Clinical,5,complete
full_enrolled/by_determined_dx/7_RBD,Demographic,8,complete
full_enrolled/by_determined_dx/7_RBD,EHI,0,complete
full_enrolled/by_determined_dx/7_RBD,Epidemiological,17,no_completion_col
full_enrolled/by_determined_dx/7_RBD,Fatigue Severity Scale,0,complete
