Form,Grouping,Variable,Type,Test,Statistic,p_value,Significant,HC n,HC mean,HC sd,HC median,PD n,PD mean,PD sd,PD median,AP n,AP mean,AP sd,AP median,DLB n,DLB mean,DLB sd,DLB median,ET n,ET mean,ET sd,ET median,MSA n,MSA mean,MSA sd,MSA median,PSP n,PSP mean,PSP sd,PSP median,RBD n,RBD mean,RBD sd,RBD median
Mds Updrs,by_enrolment_group,3.16 KINETIC TREMOR OF THE HANDS - R,Categorical,Chi-square,63.4266,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.16 KINETIC TREMOR OF THE HANDS - L,Categorical,Chi-square,65.8255,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.17 REST TREMOR AMPLITUDE - RUE,Categorical,Chi-square,60.7545,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.17 REST TREMOR AMPLITUDE - LUE,Categorical,Chi-square,39.3603,2.2e-05,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.18 CONSTANCY OF REST TREMOR,Categorical,Chi-square,121.9188,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,A. Were dyskinesias (chorea or dystonia) present dur,Categorical,Chi-square,829.8728,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Hoehn and Yahr Stage:,Categorical,Chi-square,1343.9832,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,4.1 TIME SPENT WITH DYSKINESIAS,Categorical,Chi-square,815.0739,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,4.2 FUNCTIONAL IMPACT OF DYSKINESIAS,Categorical,Chi-square,550.5064,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,4.3 TIME SPENT IN THE OFF STATE,Categorical,Chi-square,747.097,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,4.4 FUNCTIONAL IMPACT OF FLUCTUATIONS,Categorical,Chi-square,595.9566,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,4.5 COMPLEXITY OF MOTOR FLUCTUATIONS,Categorical,Chi-square,604.5612,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,4.6 PAINFUL OFF-STATE DYSTONIA,Categorical,Chi-square,643.5095,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,enrolment_group,Categorical,Chi-square,3248.0,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medication,by_enrolment_group,8. Total LED (if participant is not on any medicatio,Numeric,Kruskal-Wallis,91.1544,0.0,Yes,26.0,0.0,0.0,0.0,1524.0,750.43,527.408,600.0,73.0,467.726,408.313,450.0,,,,,,,,,,,,,,,,,,,,
Medication,by_enrolment_group,Questionnaire completed by:,Categorical,Chi-square,452.7547,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medication,by_enrolment_group,How is the questionnaire completed?,Categorical,Chi-square,77.4215,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medication,by_enrolment_group,1. Select all current medications:,Categorical,Chi-square,1122.9289,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medication,by_enrolment_group,2. Has the patient shown a significant reduction in ,Categorical,Chi-square,553.0657,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medication,by_enrolment_group,3. Current COMT Inhibitor Medications:(Catechol-O-Me,Categorical,Chi-square,708.2438,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medication,by_enrolment_group,4. Current Dopamine Agonist Medications:,Categorical,Chi-square,742.641,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medication,by_enrolment_group,6. Current MAO-B Inhibitor Medications: (Monoamine O,Categorical,Chi-square,812.0459,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medication,by_enrolment_group,7. Other PD medications:,Categorical,Chi-square,502.5131,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medication,by_enrolment_group,11. Is the participant followed by health profession,Categorical,Chi-square,6.4958,0.038855,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medication,by_enrolment_group,enrolment_group,Categorical,Chi-square,3564.0,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moca,by_enrolment_group,MoCA Test Version Administered,Numeric,Kruskal-Wallis,30.8505,0.0,Yes,209.0,7.993,0.389,8.1,1500.0,7.957,0.387,8.1,71.0,8.134,0.199,8.1,,,,,,,,,,,,,,,,,,,,
Moca,by_enrolment_group,Visuospatial/Executive Score,Numeric,Kruskal-Wallis,43.9743,0.0,Yes,199.0,4.412,0.817,5.0,1512.0,3.977,1.164,4.0,71.0,3.31,1.44,3.0,,,,,,,,,,,,,,,,,,,,
Moca,by_enrolment_group,Naming Score,Numeric,Kruskal-Wallis,7.9785,0.018513,Yes,199.0,2.98,0.141,3.0,1512.0,2.929,0.282,3.0,71.0,2.887,0.361,3.0,,,,,,,,,,,,,,,,,,,,
Moca,by_enrolment_group,Attention Score,Numeric,Kruskal-Wallis,14.5814,0.000682,Yes,199.0,5.598,0.731,6.0,1511.0,5.5,0.87,6.0,72.0,5.056,1.255,5.5,,,,,,,,,,,,,,,,,,,,
Moca,by_enrolment_group,Language Score,Numeric,Kruskal-Wallis,18.0732,0.000119,Yes,199.0,2.543,0.657,3.0,1510.0,2.337,0.831,3.0,72.0,2.028,0.978,2.0,,,,,,,,,,,,,,,,,,,,
Moca,by_enrolment_group,Abstraction Score,Numeric,Kruskal-Wallis,14.3892,0.000751,Yes,199.0,1.859,0.402,2.0,1511.0,1.781,0.49,2.0,72.0,1.611,0.618,2.0,,,,,,,,,,,,,,,,,,,,
Moca,by_enrolment_group,Delayed Recall Score,Numeric,Kruskal-Wallis,15.1563,0.000512,Yes,199.0,3.668,1.414,4.0,1511.0,3.232,1.563,3.0,72.0,3.028,1.768,3.0,,,,,,,,,,,,,,,,,,,,
Moca,by_enrolment_group,Orientation Score,Numeric,Kruskal-Wallis,19.5785,5.6e-05,Yes,199.0,5.955,0.208,6.0,1513.0,5.833,0.47,6.0,72.0,5.583,1.031,6.0,,,,,,,,,,,,,,,,,,,,
Moca,by_enrolment_group,TOTAL SCORE (make sure to include extra point for 12,Numeric,Kruskal-Wallis,46.8721,0.0,Yes,219.0,27.068,2.36,28.0,1504.0,25.122,5.106,26.0,71.0,23.634,5.26,25.0,,,,,,,,,,,,,,,,,,,,
Moca,by_enrolment_group,Make sure total score and calculation of total score,Numeric,Kruskal-Wallis,46.5312,0.0,Yes,198.0,27.02,2.412,27.5,1503.0,25.587,3.313,26.0,71.0,23.577,5.081,24.0,,,,,,,,,,,,,,,,,,,,
Moca,by_enrolment_group,Who administered the MoCA?,Categorical,Chi-square,465.3784,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moca,by_enrolment_group,How was the MoCA administered?,Categorical,Chi-square,11.7945,0.002747,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moca,by_enrolment_group,What language was the MoCA administered?,Categorical,Chi-square,29.2754,7e-06,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moca,by_enrolment_group,Date of MoCA administration,Categorical,Chi-square,2017.8705,0.036857,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moca,by_enrolment_group,Question for the coordinator: Was the patient ON or ,Categorical,Chi-square,257.2858,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moca,by_enrolment_group,Question for the participant: do you currently feel ,Categorical,Chi-square,228.138,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moca,by_enrolment_group,Did the participant receive +1 extra point for 12 ye,Categorical,Chi-square,15.5165,0.000427,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moca,by_enrolment_group,enrolment_group,Categorical,Chi-square,3648.0,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moca 1,by_enrolment_group,MoCA Test Version Administered,Numeric,Kruskal-Wallis,8.75,0.003096,Yes,7.0,8.1,0.0,8.1,6.0,7.267,0.408,7.1,,,,,,,,,,,,,,,,,,,,,,,,
Moca 1,by_enrolment_group,Who administered the MoCA?,Categorical,Chi-square,22.6286,0.00015,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moca 1,by_enrolment_group,enrolment_group,Categorical,Chi-square,29.0563,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Trial 1 raw,Numeric,Kruskal-Wallis,29.9181,0.0,Yes,90.0,6.856,1.958,7.0,268.0,5.563,1.769,6.0,23.0,6.13,2.201,6.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Trial 2 raw,Numeric,Kruskal-Wallis,32.5482,0.0,Yes,90.0,9.478,1.717,10.0,268.0,8.015,2.111,8.0,23.0,8.435,2.352,8.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Trial 3 raw,Numeric,Kruskal-Wallis,29.1096,0.0,Yes,90.0,10.422,1.621,11.0,268.0,9.056,2.22,9.0,23.0,9.174,1.992,9.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,"Trial total 1,2,3 (Raw score)",Numeric,Kruskal-Wallis,37.0326,0.0,Yes,90.0,26.756,4.577,27.0,268.0,22.634,5.498,23.0,23.0,23.739,6.122,23.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,"Intrusions total 1,2,3 (Raw score)",Numeric,Kruskal-Wallis,14.9934,0.000555,Yes,89.0,112.101,315.545,0.0,268.0,186.172,387.653,1.0,23.0,43.783,207.143,0.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,"Repetitions total 1,2,3 (Raw score)",Numeric,Kruskal-Wallis,8.363,0.015275,Yes,90.0,111.356,313.813,1.0,268.0,186.575,387.462,1.0,23.0,44.13,207.069,0.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Trial 4 delayed (Raw score),Numeric,Kruskal-Wallis,34.8628,0.0,Yes,90.0,9.678,2.312,10.0,267.0,11.487,60.536,8.0,23.0,7.913,2.61,8.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Copy raw,Numeric,Kruskal-Wallis,12.3794,0.00205,Yes,85.0,31.776,3.227,33.0,237.0,33.73,62.897,31.0,20.0,29.075,5.917,32.5,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Copy time (sec),Numeric,Kruskal-Wallis,8.3413,0.015442,Yes,89.0,247.438,188.647,193.0,253.0,248.723,183.219,191.0,20.0,323.65,175.077,301.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Immediate recall time (sec),Numeric,Kruskal-Wallis,11.4057,0.003336,Yes,89.0,536.146,396.658,320.0,253.0,663.743,406.566,994.0,20.0,321.8,298.256,228.5,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Delayed recall raw,Numeric,Kruskal-Wallis,12.9092,0.001573,Yes,65.0,19.162,5.663,20.0,180.0,26.472,103.169,15.0,16.0,14.844,7.215,14.25,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Digit Span Forward - total correct (Raw score),Numeric,Kruskal-Wallis,6.9506,0.030952,Yes,90.0,119.667,311.929,10.0,268.0,171.787,366.447,10.0,23.0,51.652,206.089,8.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Digit span forward - longest correct serie (Raw scor,Numeric,Kruskal-Wallis,8.0695,0.01769,Yes,90.0,116.544,313.034,7.0,268.0,169.049,367.659,7.0,23.0,48.826,206.698,6.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Trail A raw score (time in sec.),Numeric,Kruskal-Wallis,24.282,5e-06,Yes,90.0,31.689,10.774,30.0,272.0,44.94,61.089,38.0,22.0,46.591,22.109,41.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Trail B raw score (time in sec.),Numeric,Kruskal-Wallis,25.1426,3e-06,Yes,90.0,67.856,26.066,62.5,270.0,108.535,113.041,78.5,21.0,115.0,57.755,99.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Trail B Errors raw score,Numeric,Kruskal-Wallis,9.5692,0.008357,Yes,90.0,0.378,0.61,0.0,271.0,11.69,104.519,0.0,21.0,1.19,1.289,1.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Command Clock raw (max 10),Numeric,Kruskal-Wallis,27.0066,1e-06,Yes,90.0,9.3,1.033,10.0,268.0,8.515,1.447,9.0,23.0,8.087,1.952,9.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Copy Clock raw (max 10),Numeric,Kruskal-Wallis,20.9549,2.8e-05,Yes,90.0,9.633,0.694,10.0,268.0,9.16,1.098,9.0,23.0,8.957,1.522,9.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,"Stroop - D-Kefs, Cond. 1 - COLORS : Time (sec) (Raw ",Numeric,Kruskal-Wallis,9.4385,0.008922,Yes,90.0,138.089,305.415,31.0,266.0,225.684,385.623,34.0,23.0,79.87,200.4,36.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Stroop - D-Kefs - cond. 1: self-corrected errors (Ra,Numeric,Kruskal-Wallis,7.5984,0.022389,Yes,90.0,111.167,314.945,0.0,266.0,199.154,398.774,1.0,23.0,44.0,207.749,0.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Stroop - D-Kefs - Cond.1: Total errors (Raw score),Numeric,Kruskal-Wallis,7.3424,0.025446,Yes,76.0,131.632,339.084,0.0,234.0,222.162,415.109,1.0,16.0,63.188,249.02,0.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Stroop - D-Kefs - Cond.1: Total errors (Automatic Ca,Numeric,Kruskal-Wallis,7.6454,0.021868,Yes,90.0,111.511,315.534,0.0,266.0,199.665,399.481,1.0,23.0,44.174,208.148,0.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Stroop - D-Kefs - Cond.2: uncorrected errors (Raw sc,Numeric,Kruskal-Wallis,7.1157,0.0285,Yes,90.0,110.789,315.078,0.0,266.0,194.947,396.157,0.0,22.0,45.318,212.561,0.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Stroop - D-Kefs - Cond.3 - INK: Time (sec) (Raw scor,Numeric,Kruskal-Wallis,13.0517,0.001465,Yes,90.0,173.0,309.425,58.0,264.0,251.557,370.863,67.0,22.0,169.0,274.883,65.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Stroop - D-Kefs - Cond.3: self-corrected errors (Raw,Numeric,Kruskal-Wallis,11.2066,0.003686,Yes,90.0,122.511,328.076,1.0,264.0,197.644,396.693,2.0,22.0,92.5,292.445,1.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Stroop - D-Kefs - Cond.3: Uncorrected errors (Raw sc,Numeric,Kruskal-Wallis,10.3036,0.005789,Yes,90.0,122.067,328.243,0.0,264.0,197.0,397.014,0.0,22.0,91.227,292.854,0.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Stroop - D-Kefs - Cond.3: Total errors (Raw score),Numeric,Kruskal-Wallis,13.3334,0.001273,Yes,76.0,145.039,352.733,1.0,232.0,225.172,415.803,2.0,15.0,135.133,349.523,1.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Stroop - D-Kefs - Cond.3: Total errors (Automatic ca,Numeric,Kruskal-Wallis,13.108,0.001424,Yes,90.0,123.011,328.709,1.0,264.0,198.621,397.16,2.0,22.0,93.455,293.123,1.5,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Stroop - D-Kefs - Cond. 3 - 1 (time),Numeric,Kruskal-Wallis,7.0131,0.03,Yes,25.0,27.56,11.651,25.0,57.0,33.982,24.907,29.0,12.0,41.167,17.806,35.5,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Stroop - D-Kefs - Cond. 3 - 1 (time) (Automatic Calc,Numeric,Kruskal-Wallis,6.9734,0.030602,Yes,90.0,34.911,99.271,23.0,264.0,24.489,64.189,26.0,22.0,88.045,202.367,32.5,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Letter Fluency F (Raw score),Numeric,Kruskal-Wallis,13.6633,0.001079,Yes,90.0,14.6,3.729,14.0,267.0,16.843,60.439,13.0,21.0,10.81,4.854,11.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Letter Fluency A (Raw score),Numeric,Kruskal-Wallis,12.1065,0.00235,Yes,90.0,12.844,3.92,13.0,267.0,15.36,60.526,11.0,21.0,9.143,4.281,9.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Letter Fluency S (Raw score),Numeric,Kruskal-Wallis,20.1298,4.3e-05,Yes,90.0,13.922,3.941,14.0,267.0,15.933,60.509,12.0,21.0,9.286,4.209,9.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Total Set-Loss errors,Numeric,Kruskal-Wallis,7.2077,0.027219,Yes,89.0,112.865,315.274,1.0,253.0,201.794,398.991,2.0,19.0,53.684,227.713,1.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Letter Fluency Total (Automatic Calculation),Numeric,Kruskal-Wallis,18.8916,7.9e-05,Yes,90.0,41.367,9.481,41.0,267.0,48.135,181.367,36.0,21.0,29.238,12.259,32.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Brixton raw score,Numeric,Kruskal-Wallis,9.5488,0.008443,Yes,90.0,27.233,103.295,16.0,267.0,37.266,132.986,17.0,23.0,22.913,10.157,18.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Semantic Fluency Animals (Raw score),Numeric,Kruskal-Wallis,10.5872,0.005024,Yes,90.0,21.0,5.125,21.0,267.0,22.581,60.162,19.0,21.0,18.0,5.404,18.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Semantic Fluency Actions (Raw score),Numeric,Kruskal-Wallis,16.128,0.000315,Yes,90.0,18.4,4.882,18.0,267.0,19.779,60.381,16.0,21.0,13.952,5.454,14.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Semantic Fluency Total (Raw score),Numeric,Kruskal-Wallis,9.6912,0.007863,Yes,25.0,39.88,8.192,39.0,63.0,33.349,9.955,33.0,12.0,30.75,8.047,31.5,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Semantic Fluency Total (Automatic Calculation),Numeric,Kruskal-Wallis,16.4272,0.000271,Yes,90.0,39.4,8.144,38.0,267.0,42.36,120.445,35.0,21.0,31.952,9.922,32.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,BNT sans indice (Raw score),Numeric,Kruskal-Wallis,18.8284,8.2e-05,Yes,90.0,53.911,4.675,55.0,267.0,55.213,58.217,53.0,22.0,49.773,6.48,50.5,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,BNT sans indice + IS,Numeric,Kruskal-Wallis,11.8107,0.002725,Yes,90.0,148.0,283.615,56.0,267.0,182.187,326.38,54.0,22.0,92.591,201.433,50.5,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Main dominante (30 sec),Numeric,Kruskal-Wallis,15.7735,0.000376,Yes,90.0,275.089,437.747,14.0,267.0,383.191,479.718,12.0,21.0,56.619,215.498,10.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Main dominante (1 min),Numeric,Kruskal-Wallis,17.1094,0.000193,Yes,90.0,294.711,437.944,25.0,267.0,389.221,475.016,24.0,21.0,65.952,213.448,22.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Main non dominante (30 sec),Numeric,Kruskal-Wallis,16.9001,0.000214,Yes,90.0,263.844,431.995,13.5,267.0,383.011,479.828,12.0,21.0,56.095,215.609,9.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Main non dominante (1 min),Numeric,Kruskal-Wallis,16.9446,0.000209,Yes,90.0,272.156,427.113,25.0,267.0,388.888,475.246,23.0,21.0,64.714,213.681,18.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Deux mains (30 sec),Numeric,Kruskal-Wallis,15.8154,0.000368,Yes,90.0,274.578,438.068,12.0,266.0,391.335,482.349,10.0,21.0,55.238,215.803,9.0,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Administered by / Administré par :,Categorical,Chi-square,48.7507,0.004418,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,"Subjective Complaint: more difficulties with memory,",Categorical,Chi-square,31.3625,3e-06,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Functional Impact: the cognitive complaints affect d,Categorical,Chi-square,6.1611,0.045934,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Was the Hopkins Verbal Learning Test Revised adminis,Categorical,Chi-square,23.0053,0.000126,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Was the Rey Complex Figure Test administered?,Categorical,Chi-square,70.1477,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Details for missing data3,Categorical,Chi-square,20.4509,0.008758,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Was the Trails A B test administered?,Categorical,Chi-square,18.1505,0.005867,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Was the Stroop Colour and Word test (Golden) adminis,Categorical,Chi-square,24.8087,5.5e-05,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Was the Stroop Colour and Word (D-KEFS) test adminis,Categorical,Chi-square,12.6241,0.049408,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Was the Letter Fluency test administered?,Categorical,Chi-square,12.981,0.011369,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Was the Semantic Fluency test administered?,Categorical,Chi-square,12.5109,0.01393,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Was the Purdue pegboard administered?,Categorical,Chi-square,19.9685,0.002805,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,Comments25,Categorical,Chi-square,209.799,0.012042,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological,by_enrolment_group,enrolment_group,Categorical,Chi-square,770.0,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological Capri,by_enrolment_group,Trail B Errors raw score,Numeric,Kruskal-Wallis,5.0284,0.024935,Yes,11.0,0.0,0.0,0.0,121.0,0.512,1.017,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological Capri,by_enrolment_group,Digit Span Backward raw,Numeric,Kruskal-Wallis,4.2934,0.03826,Yes,11.0,10.364,2.767,10.0,121.0,8.628,2.395,8.0,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological Capri,by_enrolment_group,Digit span Backward scaled score,Numeric,Kruskal-Wallis,5.1359,0.023436,Yes,11.0,12.818,3.43,12.0,121.0,10.537,2.84,10.0,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological Capri,by_enrolment_group,Digit Span Backward z score,Numeric,Kruskal-Wallis,5.1359,0.023436,Yes,11.0,0.939,1.138,0.68,121.0,0.181,0.947,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological Capri,by_enrolment_group,Total (SR+SC) raw,Numeric,Kruskal-Wallis,6.0078,0.014242,Yes,11.0,57.455,3.446,59.0,120.0,49.25,16.118,56.5,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological Capri,by_enrolment_group,Total (SR+SC) t score,Numeric,Kruskal-Wallis,5.8612,0.015478,Yes,11.0,62.0,12.602,69.0,101.0,53.109,11.123,54.0,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological Capri,by_enrolment_group,Total (SR+SC) z score,Numeric,Kruskal-Wallis,6.6693,0.009809,Yes,11.0,1.188,1.262,1.89,121.0,0.206,1.141,0.31,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological Capri,by_enrolment_group,Trial 3 raw,Numeric,Kruskal-Wallis,6.8219,0.009005,Yes,11.0,11.273,0.786,11.0,121.0,9.934,1.797,10.0,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological Capri,by_enrolment_group,Total Recall t score,Numeric,Kruskal-Wallis,4.197,0.040496,Yes,11.0,55.091,5.683,56.0,121.0,48.975,10.751,50.0,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological Capri,by_enrolment_group,Total Recall z score,Numeric,Kruskal-Wallis,4.01,0.04523,Yes,11.0,0.509,0.574,0.61,120.0,-0.023,1.417,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological Capri,by_enrolment_group,Delayed Recall raw2,Numeric,Kruskal-Wallis,8.5491,0.003457,Yes,11.0,11.0,1.549,12.0,121.0,9.496,4.485,10.0,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological Capri,by_enrolment_group,Delayed Recall t score3,Numeric,Kruskal-Wallis,11.1841,0.000825,Yes,11.0,58.727,6.262,61.0,121.0,49.1,11.123,53.0,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological Capri,by_enrolment_group,Delayed Recall z score,Numeric,Kruskal-Wallis,11.0576,0.000883,Yes,11.0,0.867,0.625,1.06,120.0,-0.049,1.019,0.31,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological Capri,by_enrolment_group,Retention t score,Numeric,Kruskal-Wallis,4.1607,0.041373,Yes,11.0,54.818,7.097,57.0,121.0,50.273,9.838,51.0,,,,,,,,,,,,,,,,,,,,,,,,
Neuropsychological Capri,by_enrolment_group,Retention z score,Numeric,Kruskal-Wallis,3.9592,0.046617,Yes,11.0,0.475,0.702,0.67,121.0,0.026,0.979,0.1,,,,,,,,,,,,,,,,,,,,,,,,
