Domain,Form,Grouping,Variable,KW H,raw p,η²,BH adj p,BH sig,AP n,AP mean,AP sd,AP median,HC n,HC mean,HC sd,HC median,PD n,PD mean,PD sd,PD median,DLB n,DLB mean,DLB sd,DLB median,ET n,ET mean,ET sd,ET median,MSA n,MSA mean,MSA sd,MSA median,PSP n,PSP mean,PSP sd,PSP median,RBD n,RBD mean,RBD sd,RBD median
Composite_Scores,Pdq 39,determined_dx,PDQ-39 Communication (Scale Score),18.013,0.000437,0.0363,0.003933,Yes,,,,,,,,,399,18.672,18.972,16.667,7.0,32.143,17.631,33.333,5.0,26.667,38.37,0.0,,,,,7.0,54.762,18.545,50.0,,,,
Medications,Medication,enrolment_group,8. Total LED (if participant is not on any medicatio,91.1544,0.0,0.055,0.0,Yes,73.0,467.726,408.313,450.0,26.0,0.0,0.0,0.0,1524,750.43,527.408,600.0,,,,,,,,,,,,,,,,,,,,
Medications,Medication,determined_dx,8. Total LED (if participant is not on any medicatio,16.9156,0.000736,0.009,0.01472,Yes,,,,,,,,,1507,753.399,527.467,600.0,7.0,310.714,336.606,300.0,2.0,200.0,282.843,200.0,15.0,462.133,510.246,300.0,23.0,524.783,428.357,400.0,,,,
Mood__Psychiatric,Mds Updrs,enrolment_group,Updrs_1_3,13.3926,0.001235,0.008,0.00247,Yes,56.0,0.911,1.18,0.5,84.0,0.321,0.714,0.0,1293,0.526,0.849,0.0,,,,,,,,,,,,,,,,,,,,
Mood__Psychiatric,Mds Updrs,enrolment_group,Updrs_1_4 value,8.581,0.013698,0.0046,0.013698,Yes,56.0,1.018,1.183,1.0,84.0,0.512,0.752,0.0,1292,0.76,0.901,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Clinical,enrolment_group,15a. How many times did you fall?,6.8374,0.008927,0.0145,0.008927,Yes,44.0,10.886,20.194,2.5,1.0,1.0,,1.0,360,7.95,39.504,2.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,3.C1 Minutes since last levodopa dose:  Minutes depu,13.8505,0.000198,0.0103,0.000214,Yes,38.0,206.579,112.166,202.0,1.0,60.0,,60.0,1217,142.896,95.667,135.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_1 value,101.6387,0.0,0.0617,0.0,Yes,60.0,1.617,1.329,1.5,84.0,0.048,0.214,0.0,1475,0.809,0.866,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_2 value,122.288,0.0,0.0743,0.0,Yes,60.0,1.317,1.049,1.0,84.0,0.048,0.265,0.0,1478,1.127,0.935,1.0,,,,,,,,,,,,,,,,,,,,
Motor,Mds Updrs,enrolment_group,Updrs_3_3_neck value,80.9007,0.0,0.049,0.0,Yes,59.0,1.915,1.25,2.0,84.0,0.333,0.683,0.0,1471,1.343,1.185,1.0,,,,,,,,,,,,,,,,,,,,
